"","reagent_id","gene_symbol","migration","elongatedness","cluster"
"1","M-003002-02","AKT3",0.862815,1.5216,"5"
"2","M-003104-03","AXL",0.761822,1.48285,"1"
"3","M-003107-01","BTK",0.883691,1.61251,"2"
"4","M-003113-01","STYK1",0.357171,1.41025,"1"
"5","M-003137-02","FLT3",0.804057,1.5052,"1"
"6","M-003163-03","PDGFRB",0.621414,1.5223,"2"
"7","M-003170-02","RET",0.937328,1.52955,"2"
"8","M-003183-02","TYRO3",0.472479,1.46673,"5"
"9","M-003201-04","ATM",0.517999,1.54228,"2"
"10","M-003268-03","JUN",0.450673,1.41312,"4"
"11","M-003490-01","FBXW11",0.628187,1.51794,"5"
"12","M-003559-01","PLCG1",0.547414,1.60281,"2"
"13","M-003655-02","S1PR1",0.36693,1.84009,"3"
"14","M-003934-00","TNFRSF1B",0.252667,1.59965,"3"
"15","M-003981-04","UHMK1",0.60599,1.53146,"2"
"16","M-003984-01","KIAA0556",0.74421,1.47334,"1"
"17","M-004162-02","SGK3",0.562599,1.68192,"1"
"18","M-004377-00","C2orf28",0.242091,1.49957,"3"
"19","M-004395-01","CARD10",0.620272,1.56712,"3"
"20","M-004513-02","CBR1",0.306929,1.52075,"2"
"21","M-004612-03","PKN2",0.580943,1.54881,"2"
"22","M-004659-00","PRKG2",0.70126,1.62524,"1"
"23","M-004674-01","STK38",0.462868,1.72997,"4"
"24","M-004679-03","CSNK1G3",0.699806,1.49848,"3"
"25","M-004790-02","CYP1A1",0.59454,1.51349,"2"
"26","M-004852-00","GDF3",0.103355,1.43328,"2"
"27","M-005029-01","PRKD3",0.722853,1.51475,"1"
"28","M-005039-02","STK36",0.603955,1.67598,"6"
"29","M-005057-01","CDC42",0.743423,1.58353,"6"
"30","M-005078-00","ETNK2",0.533775,1.53388,"6"
"31","M-005238-00","TFAP2C",0.482177,1.56709,"6"
"32","M-005311-01","CASK",0.827694,1.53368,"4"
"33","M-005376-00","SRMS",0.643334,1.61348,"6"
